MONTGOMERY COUNTY,607,550,23,34,791,714,34,43,10.1,10.0,9.2,11.5,37.4,37.7,31.5,37.4
PULASKI COUNTY,170,155,15,,419,401,18,,12.2,12.5,9.0,,61.2,62.3,48.1,
RADFORD CITY,779,733,29,17,123,101,19,3,7.3,6.5,17.4,9.2,19.3,17.2,52.6,20.9
PLANNING DISTRICT 5,"4,021","3,447",506,68,"3,100","2,580",457,63,12.2,11.7,14.3,28.3,59.2,57.6,64.3,116.7
ALLEGHANY COUNTY,295,273,19,3,142,135,6,1,11.3,11.0,17.8,18.4,59.7,58.4,106.4,79.2
BOTETOURT COUNTY,1,1,,,309,299,8,2,11.8,12.0,7.2,22.4,59.9,60.1,48.3,97.7
CRAIG COUNTY,1,1,,,45,43,,2,9.5,9.1,,222.2,49.1,47.0,,2000.0
ROANOKE COUNTY,3,3,,,841,795,22,24,10.2,10.0,9.4,28.8,48.9,48.2,43.2,116.7
CLIFTON FORGE CITY,,,,,57,52,5,,13.0,14.1,7.5,,73.1,78.7,42.6,
COVINGTON CITY,,,,,85,73,12,,13.3,13.6,12.3,,72.5,73.9,69.8,
ROANOKE CITY,"2,695","2,252",394,49,"1,350",931,391,28,14.4,13.8,15.4,29.0,67.1,66.5,66.6,120.7
SALEM CITY,"1,026",917,93,16,271,252,13,6,11.5,11.4,11.4,29.2,57.9,57.1,60.9,111.9
PLANNING DISTRICT 6,"2,915","2,754",120,41,"2,841","2,673",125,43,12.1,12.2,9.3,26.6,55.7,56.2,42.4,87.7
AUGUSTA COUNTY,"1,043",971,64,8,703,685,16,2,12.2,12.4,8.1,11.2,59.6,59.7,59.1,45.1
BATH COUNTY,,,,,53,51,1,1,11.6,11.6,6.0,136.1,67.7,66.8,53.8,700.0
HIGHLAND COUNTY,1,1,,,11,11,,,4.5,4.5,,,27.5,27.5,,
ROCKBRIDGE COUNTY,2,2,,,195,191,3,1,10.4,10.6,4.8,11.3,53.2,53.9,28.7,48.8
ROCKINGHAM COUNTY,12,12,,,772,755,13,4,12.6,12.6,13.2,17.9,62.7,62.3,80.3,88.8
BUENA VISTA CITY,1,1,,,83,75,7,1,13.3,12.8,20.6,30.9,60.3,58.5,90.7,63.1
HARRISONBURG CITY,"1,625","1,556",42,27,412,366,25,21,12.4,12.3,8.7,29.2,38.4,38.8,24.3,82.0
LEXINGTON CITY,228,209,14,5,52,43,5,4,7.4,7.0,6.3,37.2,44.5,42.1,38.1,253.5
STAUNTON CITY,1,1,,,267,232,30,5,10.9,11.1,8.6,31.1,51.7,52.5,43.8,78.5
WAYNESBORO CITY,2,1,,1,293,264,25,4,15.6,15.9,11.6,40.1,81.4,85.3,52.7,143.8
PLANNING DISTRICT 7,"2,148","2,014",95,39,"2,213","2,084",95,34,12.4,12.2,13.1,28.9,59.5,58.8,66.5,111.8
CLARKE COUNTY,1,1,,,114,106,8,,8.4,8.4,8.7,,41.9,41.8,45.5,
FREDERICK COUNTY,3,3,,,759,721,26,12,14.1,13.8,19.5,26.3,63.9,62.9,86.2,95.1
PAGE COUNTY,3,2,1,,245,243,2,,10.5,10.7,4.3,,53.1,53.7,29.8,
SHENANDOAH COUNTY,199,197,1,1,384,376,4,4,11.2,11.1,8.8,24.4,58.3,58.1,46.1,127.9
WARREN COUNTY,140,123,9,8,399,374,14,11,13.3,13.1,10.1,86.9,63.0,61.7,58.0,372.5
WINCHESTER CITY,"1,802","1,688",84,30,312,264,41,7,13.2,12.8,15.1,24.1,62.1,60.2,73.7,80.5
PLANNING DISTRICT 8,"26,651","19,622","3,676","3,353","27,108","20,064","3,537","3,507",16.0,14.8,18.4,24.9,64.5,60.6,69.0,91.8
ARLINGTON COUNTY,"2,830","1,657",441,732,"2,672","1,832",310,530,15.0,12.7,15.4,38.6,57.1,49.5,53.9,131.1
FAIRFAX COUNTY,"15,861","12,287","1,621","1,953","13,653","10,198","1,349","2,106",14.4,13.5,14.8,20.6,59.4,56.9,56.6,78.4
LOUDOUN COUNTY,"1,190","1,041",95,54,"2,838","2,452",181,205,26.5,25.4,22.9,69.8,107.1,102.9,97.3,252.6
PRINCE WILLIAM COUNTY,"2,006","1,494",405,107,"4,640","3,498",887,255,17.5,16.2,22.9,22.4,69.4,66.1,84.6,74.6
ALEXANDRIA CITY,"3,303","1,880",965,458,"2,110","1,095",685,330,17.6,12.5,25.7,59.4,64.9,46.4,94.1,201.8
FAIRFAX CITY,1,,,1,279,221,14,44,14.0,13.8,8.9,18.6,58.3,61.9,27.3,62.4
FALLS CHURCH CITY,1,1,,,86,76,2,8,8.6,8.5,5.4,12.7,38.1,38.8,17.8,43.1
MANASSAS CITY,"1,459","1,262",149,48,647,537,89,21,18.8,18.9,19.7,14.0,74.3,75.2,77.3,50.7
MANASSAS PARK CITY,,,,,183,155,20,8,22.1,22.4,20.0,22.2,85.8,88.9,73.7,68.0
PLANNING DISTRICT 9,844,733,94,17,"1,629","1,398",206,25,11.9,11.6,13.3,26.4,56.8,55.4,63.7,98.3
CULPEPER COUNTY,324,259,57,8,458,368,78,12,13.9,13.4,15.2,29.5,64.2,62.0,71.6,110.1
FAUQUIER COUNTY,513,467,37,9,643,581,52,10,10.7,10.7,9.7,25.3,49.4,49.3,46.8,94.5
MADISON COUNTY,2,2,,,132,113,18,1,9.8,9.6,10.8,20.0,52.0,51.1,56.7,115.3
ORANGE COUNTY,3,3,,,307,249,56,2,12.9,12.0,18.8,25.9,65.6,62.1,87.0,75.7
RAPPAHANNOCK COUNTY,2,2,,,89,87,2,,12.4,12.9,5.3,,66.4,68.8,27.6,
,,,,,,IV-4,,,,,,,,,,
,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"92,004","64,958","21,852","5,194","94,114","66,872","21,868","5,374",13.9,12.9,16.5,23.1,60.7,57.2,68.9,84.7
PLANNING DISTRICT 10,"2,972","2,384",514,74,"2,311","1,856",386,69,12.9,12.5,13.6,20.6,52.8,52.2,55.4,56.2
ALBEMARLE COUNTY,11,9,1,1,943,801,99,43,12.3,12.0,12.4,21.3,49.1,49.2,44.6,58.6
FLUVANNA COUNTY,1,1,,,202,168,32,2,14.3,14.9,11.6,51.7,70.4,72.2,60.4,163.8
GREENE COUNTY,2,2,,,209,197,10,2,16.6,16.7,13.5,44.8,74.4,75.2,56.9,149.9
LOUISA COUNTY,4,4,,,305,231,72,2,13.8,13.4,15.0,21.4,64.9,62.4,74.1,77.0
NELSON COUNTY,4,4,,,181,146,33,2,13.7,13.3,15.3,54.8,72.0,70.4,77.2,162.4
CHARLOTTESVILLE CITY,"2,950","2,364",513,73,471,313,140,18,11.6,10.5,14.2,16.1,40.5,36.6,53.0,41.9
PLANNING DISTRICT 11,"2,590","1,901",655,34,"2,636","2,015",588,33,12.2,11.5,14.8,25.1,55.9,53.2,65.8,90.6
AMHERST COUNTY,1,1,,,356,272,80,4,12.3,11.8,13.8,19.5,56.2,54.1,64.2,74.8
APPOMATTOX COUNTY,,,,,158,115,42,1,12.3,11.7,13.8,46.4,61.8,60.0,66.3,151.3
BEDFORD COUNTY,3,2,1,,623,590,28,5,11.7,11.9,8.6,31.8,55.9,56.4,42.3,162.3
CAMPBELL COUNTY,2,2,,,668,527,132,9,13.7,12.6,19.6,43.3,64.4,59.9,87.0,157.3
BEDFORD CITY,242,202,36,4,93,71,20,2,15.2,15.4,13.8,46.1,84.4,90.6,65.0,196.9
LYNCHBURG CITY,"2,342","1,694",618,30,738,440,286,12,11.1,9.5,14.8,17.7,47.1,40.4,62.6,58.3
PLANNING DISTRICT 12,"2,111","1,363",718,30,"2,793","1,896",864,33,11.6,10.7,14.0,38.0,58.1,56.0,61.7,156.2
FRANKLIN COUNTY,229,185,42,2,460,407,49,4,10.8,10.7,11.5,35.3,53.3,53.3,51.2,103.0
HENRY COUNTY,2,1,1,,571,431,127,13,10.1,10.0,9.6,74.8,49.9,50.9,43.0,346.0
PATRICK COUNTY,143,136,7,,192,178,14,,11.0,10.9,11.6,,57.6,57.9,55.3,
PITTSYLVANIA COUNTY,5,5,,,671,520,149,2,12.1,12.5,10.9,20.0,58.2,60.8,50.4,82.4
DANVILLE CITY,"1,213",698,502,13,686,257,416,13,13.0,8.8,18.2,33.1,68.2,55.7,77.7,142.4
MARTINSVILLE CITY,519,338,166,15,213,103,109,1,13.8,11.5,16.9,17.4,69.7,68.9,70.4,80.9
PLANNING DISTRICT 13,870,404,464,2,991,506,482,3,12.3,11.0,14.0,12.9,64.6,62.8,66.5,63.7
BRUNSWICK COUNTY,2,2,,,179,76,103,,11.0,11.8,10.6,,54.6,71.2,46.7,
HALIFAX COUNTY,566,276,288,2,440,239,199,2,12.4,11.1,14.5,13.9,65.6,62.4,70.0,61.1
MECKLENBURG COUNTY,302,126,176,,372,191,180,1,12.8,10.6,16.5,15.0,69.4,60.5,82.1,95.9
PLANNING DISTRICT 14,357,186,171,,"1,023",616,405,2,11.9,11.4,12.7,5.9,59.8,57.0,65.1,24.1
AMELIA COUNTY,2,2,,,137,99,38,,14.6,14.8,14.4,,71.3,69.5,77.5,
BUCKINGHAM COUNTY,3,1,2,,143,85,57,1,10.8,10.7,10.7,22.5,60.4,60.9,59.5,72.9
CHARLOTTE COUNTY,2,2,,,150,98,52,,13.1,13.3,12.8,,71.3,76.8,63.1,
CUMBERLAND COUNTY,3,3,,,106,74,32,,13.1,14.5,10.7,,70.4,79.4,56.4,
LUNENBURG COUNTY,,,,,116,66,50,,10.5,9.4,12.3,,57.4,53.4,64.4,
NOTTOWAY COUNTY,1,,1,,165,93,72,,10.9,10.5,11.5,,61.5,59.7,64.9,
PRINCE EDWARD COUNTY,346,178,168,,206,101,104,1,11.5,9.0,16.0,8.9,45.8,33.9,69.7,40.2
PLANNING DISTRICT 15,"12,646","8,020","4,184",442,"11,429","7,141","3,857",431,13.9,12.5,16.7,26.9,59.4,54.6,67.1,104.0
CHARLES CITY COUNTY,1,1,,,87,38,42,7,14.2,17.1,12.1,16.0,68.3,84.3,58.2,69.8
CHESTERFIELD COUNTY,"2,193","1,800",321,72,"3,375","2,570",673,132,13.3,12.3,17.2,21.5,56.6,52.7,71.0,97.1
GOOCHLAND COUNTY,,,,,185,155,29,1,11.2,12.7,6.8,19.7,50.7,59.2,28.5,75.5
HANOVER COUNTY,224,189,31,4,"1,004",891,99,14,13.4,13.0,15.6,34.2,60.1,58.2,77.3,125.0
HENRICO COUNTY,"6,301","4,710","1,360",231,"3,545","2,300","1,050",195,14.7,12.8,18.7,30.4,60.0,56.5,63.6,108.4
NEW KENT COUNTY,3,3,,,140,107,28,5,11.5,10.9,13.1,29.1,52.9,49.4,65.0,102.0
POWHATAN COUNTY,,,,,246,214,30,2,13.7,14.6,9.2,35.0,72.8,71.5,79.3,187.1
RICHMOND CITY,"3,924","1,317","2,472",135,"2,847",866,"1,906",75,14.6,11.3,16.4,31.8,61.7,48.8,68.8,107.2
PLANNING DISTRICT 16,"2,474","2,049",373,52,"3,350","2,763",507,80,16.1,15.6,18.5,27.3,69.8,66.9,86.0,100.6
CAROLINE COUNTY,,,,,304,199,98,7,15.0,15.3,14.1,28.9,71.9,72.0,69.5,128.3
KING GEORGE COUNTY,,,,,257,212,41,4,16.6,17.1,14.0,23.8,71.5,74.5,59.1,74.1
SPOTSYLVANIA COUNTY,5,5,,,"1,194","1,031",139,24,16.5,15.8,21.5,28.4,68.8,65.6,97.3,104.5
STAFFORD COUNTY,5,5,,,"1,293","1,108",145,40,16.3,15.4,23.9,28.6,74.2,69.9,120.0,109.9
FREDERICKSBURG CITY,"2,464","2,039",373,52,302,213,84,5,15.0,14.3,16.9,17.8,56.3,51.7,72.9,53.6
PLANNING DISTRICT 17,291,143,146,2,487,274,209,4,10.5,8.3,15.5,23.1,63.3,55.5,77.0,99.4
LANCASTER COUNTY,291,143,146,2,117,52,65,,10.1,6.3,19.6,,68.1,48.6,101.2,
NORTHUMBERLAND COUNTY,,,,,95,57,38,,8.5,7.0,12.4,,56.0,51.3,66.0,
RICHMOND COUNTY,,,,,71,47,22,2,9.5,9.0,9.8,61.5,51.2,50.7,48.6,284.5
WESTMORELAND COUNTY,,,,,204,118,84,2,12.6,10.5,17.3,21.1,70.4,64.4,80.4,91.5
PLANNING DISTRICT 18,12,9,3,,861,693,156,12,10.4,10.4,9.9,16.7,50.2,50.5,48.0,71.3
ESSEX COUNTY,5,2,3,,110,67,42,1,12.5,12.3,12.9,11.7,67.9,70.5,64.2,67.1
GLOUCESTER COUNTY,7,7,,,386,343,37,6,10.3,10.2,10.8,22.2,45.0,44.1,51.7,75.9
KING AND QUEEN COUNTY,,,,,70,53,16,1,10.6,13.4,6.2,13.5,54.3,72.1,29.8,60.1
KING WILLIAM COUNTY,,,,,149,119,26,4,12.1,13.7,7.6,16.0,56.1,64.9,33.7,78.8
MATHEWS COUNTY,,,,,74,63,11,,8.5,8.3,10.6,,49.6,48.8,56.8,
MIDDLESEX COUNTY,,,,,72,48,24,,7.8,6.7,11.6,,47.8,42.5,63.8,
,,,,,,IV-5,,,,,,,,,,
,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998","VIRGINIA, 1998",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"92,004","64,958","21,852","5,194","94,114","66,872","21,868","5,374",13.9,12.9,16.5,23.1,60.7,57.2,68.9,84.7
PLANNING DISTRICT 19,"2,059","1,005","1,010",44,"2,103","1,044","1,016",43,13.3,12.2,14.6,17.8,63.3,62.7,64.1,59.9
