TAZEWELL COUNTY,608,602,2,4,549,534,11,4,12.4,12.4,9.2,13.6,58.2,58.7,43.1,55.6
PLANNING DISTRICT 3,"1,826","1,773",38,15,"1,906","1,848",43,15,10.7,10.7,9.1,26.4,52.5,52.7,41.5,92.5
BLAND COUNTY,,,,,60,60,,,9.2,9.5,,,49.6,50.0,,
CARROLL COUNTY,1,1,,,307,304,2,1,11.6,11.6,12.4,13.4,59.7,59.8,65.5,44.5
GRAYSON COUNTY,,,,,170,168,2,,10.5,10.7,4.1,,54.2,55.5,19.6,
SMYTH COUNTY,278,269,7,2,351,340,9,2,10.6,10.6,12.3,17.8,51.2,51.3,48.1,69.1
WASHINGTON COUNTY,856,843,5,8,456,447,4,5,10.0,10.0,6.1,51.5,47.9,47.8,29.8,153.0
WYTHE COUNTY,252,240,11,1,270,257,12,1,10.6,10.5,13.5,9.3,49.8,49.8,51.0,31.4
BRISTOL CITY,2,2,,,203,197,3,3,11.2,11.6,2.8,28.8,54.8,57.1,13.2,103.2
GALAX CITY,437,418,15,4,89,75,11,3,13.2,12.0,22.8,105.2,68.4,63.3,99.7,392.3
PLANNING DISTRICT 4,"1,532","1,411",71,50,"1,663","1,533",76,54,10.6,10.6,10.8,13.6,41.2,41.2,40.7,42.3
FLOYD COUNTY,7,7,,,155,153,2,,12.7,12.8,7.5,,65.0,65.8,38.5,
GILES COUNTY,7,7,,,193,190,3,,11.9,11.9,10.7,,60.5,60.5,63.7,
MONTGOMERY COUNTY,527,475,19,33,803,719,33,51,10.5,10.3,9.6,14.7,37.8,37.6,32.4,47.1
PULASKI COUNTY,213,196,16,1,403,377,24,2,11.7,11.7,11.9,16.6,55.9,55.6,61.0,53.7
RADFORD CITY,778,726,36,16,109,94,14,1,6.6,6.2,13.3,3.2,17.3,16.2,39.2,7.0
PLANNING DISTRICT 5,"4,074","3,500",535,39,"3,081","2,590",458,33,12.1,11.7,14.6,15.3,56.4,55.3,63.2,59.8
ALLEGHANY COUNTY,303,272,28,3,153,148,4,1,11.9,11.9,12.0,18.5,60.3,60.1,65.3,72.9
BOTETOURT COUNTY,,,,,288,281,6,1,11.2,11.5,5.3,11.1,54.5,55.2,34.4,46.4
CRAIG COUNTY,1,1,,,54,53,,1,11.7,11.6,,117.6,58.2,57.2,,1000.0
ROANOKE COUNTY,7,7,,,630,612,13,5,7.7,7.8,5.8,6.2,35.4,35.8,25.0,23.8
CLIFTON FORGE CITY,,,,,50,40,10,,11.1,10.5,14.7,,61.6,58.3,80.5,
COVINGTON CITY,,,,,106,92,12,2,16.0,16.5,12.2,34.8,84.4,86.8,65.9,144.2
ROANOKE CITY,"2,699","2,244",436,19,"1,526","1,102",403,21,16.1,15.9,16.3,22.4,72.6,74.4,67.4,88.9
SALEM CITY,"1,064",976,71,17,274,262,10,2,11.6,11.8,8.9,9.9,54.9,55.5,47.0,37.5
PLANNING DISTRICT 6,"2,770","2,631",109,30,"2,775","2,621",122,32,12.0,12.1,9.4,20.6,53.6,54.1,42.0,66.5
AUGUSTA COUNTY,855,801,49,5,693,679,10,4,12.3,12.5,5.0,22.1,58.0,58.4,35.1,85.6
BATH COUNTY,,,,,42,41,1,,9.0,9.2,5.1,,50.0,50.5,38.5,
HIGHLAND COUNTY,,,,,18,18,,,7.2,7.2,,,41.5,41.5,,
ROCKBRIDGE COUNTY,1,1,,,174,166,7,1,9.4,9.3,11.4,11.5,46.5,46.0,65.9,48.0
ROCKINGHAM COUNTY,19,19,,,873,857,13,3,14.6,14.6,12.8,13.0,69.6,69.5,73.8,61.3
BUENA VISTA CITY,,,,,74,70,3,1,11.7,11.8,9.3,33.6,51.0,51.5,39.3,63.8
HARRISONBURG CITY,"1,657","1,587",47,23,368,321,28,19,11.4,11.0,10.7,28.9,34.7,34.2,29.0,78.9
LEXINGTON CITY,231,217,12,2,72,66,6,,10.3,10.9,7.5,,59.1,62.1,42.8,
STAUNTON CITY,6,5,1,,217,195,20,2,8.8,9.3,5.9,13.0,40.8,42.5,29.8,32.1
WAYNESBORO CITY,1,1,,,244,208,34,2,13.0,12.5,16.8,21.4,65.7,64.3,74.7,74.9
PLANNING DISTRICT 7,"2,054","1,940",90,24,"2,167","2,048",99,20,12.6,12.5,14.2,18.2,59.1,58.6,69.5,68.1
CLARKE COUNTY,2,2,,,133,121,11,1,10.2,10.0,11.3,24.2,49.5,48.7,57.6,126.2
FREDERICK COUNTY,3,3,,,702,667,27,8,13.8,13.5,23.1,20.0,60.9,59.9,99.7,70.6
PAGE COUNTY,,,,,230,223,7,,10.1,10.1,15.1,,49.8,49.3,101.0,
SHENANDOAH COUNTY,233,231,1,1,378,372,4,2,11.3,11.4,9.0,12.5,57.1,57.3,45.3,62.9
WARREN COUNTY,186,172,12,2,419,402,15,2,14.6,14.8,10.9,15.9,67.9,68.4,58.1,63.3
WINCHESTER CITY,"1,630","1,532",77,21,305,263,35,7,13.2,13.0,13.8,25.8,60.2,59.3,64.0,81.9
PLANNING DISTRICT 8,"24,934","19,033","3,364","2,537","25,036","19,210","3,190","2,636",15.6,14.8,17.5,19.9,60.8,59.1,64.2,71.7
ARLINGTON COUNTY,"3,270","2,268",530,472,"2,648","1,997",343,308,15.1,14.3,16.0,21.0,55.8,54.2,55.1,70.4
FAIRFAX COUNTY,"14,286","11,371","1,469","1,446","13,053","10,099","1,317","1,637",14.5,14.0,15.7,17.3,58.1,57.2,58.1,64.2
LOUDOUN COUNTY,895,785,77,33,"2,240","1,952",154,134,22.5,21.8,20.8,48.5,89.0,86.4,85.7,170.9
PRINCE WILLIAM COUNTY,"1,767","1,358",328,81,"4,097","3,182",715,200,16.6,15.7,20.5,19.6,64.4,62.2,75.6,64.9
ALEXANDRIA CITY,"3,353","2,071",831,451,"1,842",995,566,281,15.8,11.9,20.7,49.4,55.9,42.4,73.2,161.9
FAIRFAX CITY,1,,1,,271,217,14,40,13.6,13.2,9.9,18.8,55.4,56.8,31.0,64.3
FALLS CHURCH CITY,1,1,,,96,87,1,8,9.8,9.9,2.6,12.5,42.1,44.0,8.8,42.4
MANASSAS CITY,"1,361","1,179",128,54,635,542,70,23,19.8,20.4,16.9,16.8,76.7,79.4,65.8,60.1
MANASSAS PARK CITY,,,,,154,139,10,5,19.9,21.2,11.8,16.4,76.6,82.7,43.3,49.9
PLANNING DISTRICT 9,786,657,116,13,"1,545","1,311",212,22,11.9,11.6,13.6,23.1,55.4,54.0,63.1,83.6
CULPEPER COUNTY,345,269,65,11,412,322,78,12,13.3,12.6,15.5,30.1,59.8,56.7,70.7,108.6
FAUQUIER COUNTY,436,384,50,2,642,573,63,6,11.5,11.5,11.5,14.9,51.6,51.3,54.0,54.1
MADISON COUNTY,,,,,126,105,21,,9.8,9.4,12.4,,49.6,47.9,62.4,
ORANGE COUNTY,1,1,,,293,243,46,4,12.8,12.2,15.2,51.1,63.1,61.6,68.7,145.5
RAPPAHANNOCK COUNTY,4,3,1,,72,68,4,,10.3,10.4,9.4,,52.4,52.8,48.8,
,,,,,,,1,,,,,,,,,
,,,,,,TABLE 8,TABLE 8,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,,"VIRGINIA, 1995","VIRGINIA, 1995","VIRGINIA, 1995",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"90,593","65,393","21,155","4,045","91,871","66,597","21,119","4,155",14.0,13.2,16.6,19.0,59.5,57.0,67.0,67.9
PLANNING DISTRICT 10,"2,827","2,262",505,60,"2,173","1,751",367,55,12.5,12.2,13.2,17.1,50.0,49.7,52.7,46.1
ALBEMARLE COUNTY,11,10,,1,855,737,75,43,11.6,11.5,9.8,22.3,45.2,45.8,35.0,60.6
FLUVANNA COUNTY,,,,,201,167,34,,14.9,15.7,12.2,,70.7,74.1,58.9,
GREENE COUNTY,6,6,,,203,185,18,,17.3,16.9,24.9,,74.8,73.1,105.3,
LOUISA COUNTY,6,6,,,312,240,71,1,14.5,14.6,14.3,10.3,67.2,67.4,67.2,35.4
NELSON COUNTY,1,1,,,117,97,20,,9.0,9.0,8.8,,45.5,46.4,42.9,
CHARLOTTESVILLE CITY,"2,803","2,239",505,59,485,325,149,11,11.9,10.8,15.8,10.2,41.4,37.2,58.3,26.5
PLANNING DISTRICT 11,"2,615","1,937",652,26,"2,642","2,026",590,26,12.4,11.8,15.1,20.0,55.2,52.8,64.4,69.7
AMHERST COUNTY,3,2,1,,340,274,64,2,11.8,12.0,11.0,9.8,51.8,52.8,48.8,35.6
APPOMATTOX COUNTY,2,1,1,,151,103,48,,11.9,10.6,16.2,,57.8,52.7,73.9,
BEDFORD COUNTY,7,6,1,,646,604,38,4,12.8,12.9,11.2,24.4,59.4,59.6,52.8,119.5
CAMPBELL COUNTY,5,3,2,,595,484,103,8,12.3,11.7,15.1,38.1,55.7,53.6,64.9,133.7
BEDFORD CITY,338,290,45,3,67,48,19,,11.0,10.3,13.5,,59.3,59.3,61.5,
LYNCHBURG CITY,"2,260","1,635",602,23,843,513,318,12,12.7,11.0,17.0,18.3,52.6,45.7,69.4,58.1
PLANNING DISTRICT 12,"1,993","1,290",695,8,"2,678","1,801",865,12,11.2,10.1,14.2,14.1,53.7,51.0,60.4,55.7
FRANKLIN COUNTY,253,205,48,,473,416,56,1,11.4,11.2,13.1,8.8,53.8,53.7,56.1,24.7
HENRY COUNTY,1,1,,,616,455,156,5,10.8,10.5,11.8,28.8,51.3,51.2,50.5,127.2
PATRICK COUNTY,141,125,16,,181,166,15,,10.3,10.2,12.0,,52.9,52.8,55.2,
PITTSYLVANIA COUNTY,4,3,1,,583,419,162,2,10.5,10.1,11.4,19.3,49.1,48.3,51.2,76.9
DANVILLE CITY,"1,151",658,489,4,644,259,382,3,12.2,8.4,17.7,8.1,60.8,49.4,72.6,33.4
MARTINSVILLE CITY,443,298,141,4,181,86,94,1,11.5,9.2,15.0,17.9,56.9,52.5,61.4,81.8
PLANNING DISTRICT 13,792,400,389,3,994,511,480,3,12.3,11.1,15.1,15.9,62.3,61.0,63.7,60.8
BRUNSWICK COUNTY,,,,,178,53,125,,11.0,8.2,13.0,,53.1,47.2,56.2,
HALIFAX COUNTY,576,305,268,3,439,250,186,3,12.3,11.6,16.7,30.0,62.5,62.5,62.3,87.3
MECKLENBURG COUNTY,216,95,121,,377,208,169,,13.0,11.5,15.3,,67.6,64.0,72.8,
PLANNING DISTRICT 14,409,184,225,,"1,036",576,457,3,12.1,10.8,16.2,10.9,59.2,52.7,70.4,34.8
AMELIA COUNTY,3,3,,,142,101,41,,15.5,15.7,15.5,,73.6,72.6,77.2,
BUCKINGHAM COUNTY,,,,,134,83,50,1,10.2,10.7,18.5,38.7,54.6,58.2,49.4,69.0
CHARLOTTE COUNTY,1,,1,,125,62,63,,10.8,8.4,11.9,,56.8,47.3,71.2,
CUMBERLAND COUNTY,3,3,,,101,64,37,,12.6,12.9,8.9,,64.5,67.0,61.3,
LUNENBURG COUNTY,1,1,,,131,61,69,1,11.7,8.7,23.0,48.1,62.0,47.7,83.7,109.5
NOTTOWAY COUNTY,,,,,177,96,80,1,11.7,10.9,19.3,29.5,64.9,60.4,71.5,53.9
PRINCE EDWARD COUNTY,401,177,224,,226,109,117,,12.8,9.8,18.8,,50.0,36.7,76.9,
PLANNING DISTRICT 15,"12,404","8,006","4,096",302,"11,098","7,077","3,723",298,14.0,12.8,32.9,23.5,57.8,54.1,65.2,74.1
CHARLES CITY COUNTY,,,,,76,38,36,2,12.3,18.3,5.6,18.1,56.8,87.4,45.5,18.2
CHESTERFIELD COUNTY,"1,493","1,248",211,34,"3,222","2,558",572,92,13.5,12.9,156.5,200.1,55.4,53.7,62.3,69.8
GOOCHLAND COUNTY,1,1,,,177,135,42,,11.3,11.9,1.2,,49.3,53.8,39.5,
HANOVER COUNTY,2,2,,,947,850,84,13,13.4,13.3,19.8,257.5,58.8,58.0,63.0,111.5
HENRICO COUNTY,"6,280","4,852","1,258",170,"3,418","2,334",942,142,14.7,13.3,147.5,344.8,58.6,56.7,61.1,84.5
NEW KENT COUNTY,,,,,145,122,22,1,12.6,13.2,0.4,0.2,55.4,57.7,48.8,19.5
POWHATAN COUNTY,2,2,,,227,205,21,1,13.4,15.0,9.7,5.8,68.8,71.2,51.5,86.8
RICHMOND CITY,"4,626","1,901","2,627",98,"2,886",835,"2,004",47,14.6,10.3,613.1,817.9,59.4,43.1,70.4,65.4
PLANNING DISTRICT 16,"2,312","1,948",320,44,"3,181","2,637",479,65,16.4,16.0,3.5,13.4,69.0,67.1,80.1,82.3
CAROLINE COUNTY,2,,2,,298,201,93,4,15.0,16.0,0.8,1.7,69.5,74.0,61.4,68.3
KING GEORGE COUNTY,1,1,,,247,202,40,5,16.7,17.2,5.7,20.3,71.8,74.7,58.5,94.0
SPOTSYLVANIA COUNTY,7,7,,,"1,057",936,104,17,15.8,15.7,36.2,103.0,64.7,64.0,70.3,71.4
STAFFORD COUNTY,7,7,,,"1,113",968,119,26,15.3,14.7,18.5,31.0,67.2,64.3,103.2,74.9
FREDERICKSBURG CITY,"2,295","1,933",318,44,466,330,123,13,23.6,22.3,22.2,10.2,85.6,78.6,107.0,139.8
PLANNING DISTRICT 17,278,150,127,1,464,277,185,2,10.2,8.7,13.9,5.8,59.4,55.7,66.1,48.0
LANCASTER COUNTY,278,150,127,1,107,52,54,1,9.5,6.5,11.4,3.7,61.2,47.7,82.6,258.7
NORTHUMBERLAND COUNTY,,,,,107,56,50,1,9.8,7.1,15.1,55.1,62.2,49.9,84.7,129.0
RICHMOND COUNTY,,,,,74,50,24,,10.0,9.7,7.8,,53.2,53.9,52.6,
WESTMORELAND COUNTY,,,,,176,119,57,,11.0,10.9,25.6,,59.6,65.1,51.9,
PLANNING DISTRICT 18,10,7,3,,897,722,167,8,11.3,11.5,8.9,10.0,53.9,55.0,50.1,47.0
ESSEX COUNTY,6,4,2,,98,55,42,1,11.2,10.2,8.5,10.3,57.8,55.6,60.8,63.6
GLOUCESTER COUNTY,4,3,1,,396,352,41,3,11.4,11.4,12.6,35.1,49.4,48.8,57.0,37.8
KING AND QUEEN COUNTY,,,,,98,60,37,1,15.1,15.8,10.8,3.7,75.3,82.3,66.6,58.0
KING WILLIAM COUNTY,,,,,157,125,29,3,13.3,15.3,11.1,40.3,60.3,70.0,37.8,59.5
MATHEWS COUNTY,,,,,84,73,11,,9.8,9.8,3.2,,55.9,56.5,53.8,
MIDDLESEX COUNTY,,,,,64,57,7,,7.1,8.2,6.4,,42.1,50.7,17.7,
,,,,,,,2,,,,,,,,,
,,,,,,TABLE 8,TABLE 8,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,,"VIRGINIA, 1995","VIRGINIA, 1995","VIRGINIA, 1995",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
STATE OF VIRGINIA,"90,593","65,393","21,155","4,045","91,871","66,597","21,119","4,155",14.0,13.2,16.6,19.0,59.5,57.0,67.0,67.9
PLANNING DISTRICT 19,"2,059","1,001","1,018",40,"2,080","1,057",989,34,13.2,12.2,23.4,17.5,60.8,60.5,61.6,48.3
DINWIDDIE COUNTY,,,,,253,177,73,3,11.2,12.0,34.8,203.2,52.4,56.9,43.3,110.3
GREENSVILLE COUNTY,,,,,97,45,51,1,10.2,10.8,6.6,10.4,52.3,58.6,47.4,83.9
