MONTGOMERY COUNTY,"1,297","1,210",35,52,814,738,25,51,10.3,10.3,6.6,13.3,38.5,39.1,22.7,43.5
PULASKI COUNTY,192,175,13,4,383,360,19,4,11.2,11.2,9.5,33.4,57.0,56.9,51.9,115.5
RADFORD CITY,186,171,11,4,146,129,12,5,8.5,8.2,10.9,15.2,22.9,21.9,33.1,34.6
PLANNING DISTRICT 5,"3,964","3,391",507,66,"3,104","2,565",479,60,12.2,11.7,14.8,26.7,60.1,58.2,67.9,111.8
ALLEGHANY COUNTY,279,258,19,2,113,111,1,1,9.0,9.1,2.9,18.3,48.6,49.1,18.0,80.4
BOTETOURT COUNTY,,,,,328,319,4,5,12.5,12.7,3.6,56.0,64.1,64.7,24.4,246.9
CRAIG COUNTY,,,,,54,53,,1,11.3,11.2,,111.1,59.2,58.2,,1000.0
ROANOKE COUNTY,3,3,,,859,795,39,25,10.3,9.9,16.5,29.6,50.5,48.8,77.0,122.2
CLIFTON FORGE CITY,,,,,50,36,14,,11.5,9.8,21.0,,64.9,55.0,121.4,
COVINGTON CITY,,,,,85,78,6,1,13.4,14.7,6.2,17.5,74.3,81.0,35.7,78.1
ROANOKE CITY,"2,659","2,229",395,35,"1,380",968,390,22,14.7,14.5,15.2,22.6,69.7,70.4,66.8,95.4
SALEM CITY,"1,023",901,93,29,235,205,25,5,10.0,9.3,21.9,24.2,51.3,47.5,117.2,93.3
PLANNING DISTRICT 6,"3,022","2,823",144,55,"2,941","2,734",149,58,12.5,12.4,11.0,35.4,58.0,57.9,50.2,117.5
AUGUSTA COUNTY,"1,006",921,73,12,651,622,16,13,11.3,11.2,8.1,73.2,55.5,54.5,60.1,297.8
BATH COUNTY,,,,,50,49,1,,11.0,11.2,6.3,,65.4,65.7,56.7,
HIGHLAND COUNTY,,,,,19,19,,,7.9,7.9,,,49.1,49.1,,
ROCKBRIDGE COUNTY,1,1,,,215,210,3,2,11.5,11.6,4.8,22.4,59.0,59.7,28.7,97.5
ROCKINGHAM COUNTY,19,19,,,909,886,14,9,14.8,14.7,14.4,40.8,74.3,73.6,89.0,205.8
BUENA VISTA CITY,,,,,85,78,6,1,13.7,13.4,17.3,30.3,63.0,62.0,78.6,63.8
HARRISONBURG CITY,"1,743","1,648",58,37,403,338,38,27,12.0,11.3,12.9,36.5,37.4,35.7,36.3,103.4
LEXINGTON CITY,251,232,13,6,51,43,5,3,7.3,7.0,6.4,28.0,44.3,42.7,38.9,194.1
STAUNTON CITY,,,,,251,216,34,1,10.2,10.3,9.6,6.1,49.1,49.6,49.3,15.6
WAYNESBORO CITY,2,2,,,307,273,32,2,16.3,16.5,14.5,19.6,86.3,89.5,66.6,70.9
PLANNING DISTRICT 7,"2,320","2,210",75,35,"2,228","2,112",87,29,12.3,12.2,11.8,24.1,59.7,59.3,60.8,94.1
CLARKE COUNTY,1,1,,,118,113,5,,8.5,8.8,5.5,,43.2,44.2,29.6,
FREDERICK COUNTY,3,3,,,724,695,23,6,13.2,13.1,16.5,12.6,60.3,60.1,73.5,45.8
PAGE COUNTY,3,3,,,256,250,6,,10.9,10.9,12.8,,55.5,55.3,91.5,
SHENANDOAH COUNTY,238,224,5,9,375,358,6,11,10.8,10.5,13.0,65.8,56.9,55.4,68.6,348.9
WARREN COUNTY,125,123,1,1,442,427,11,4,14.5,14.7,7.9,31.6,69.1,69.7,46.6,138.5
WINCHESTER CITY,"1,950","1,856",69,25,313,269,36,8,13.1,12.9,13.0,27.0,62.5,61.6,64.3,91.4
PLANNING DISTRICT 8,"27,371","20,015","3,779","3,577","27,959","20,558","3,613","3,788",16.3,14.9,18.5,26.4,66.0,61.7,69.8,98.0
ARLINGTON COUNTY,"2,840","1,913",442,485,"2,606","1,979",323,304,14.6,13.6,16.4,22.6,56.0,53.4,57.8,77.4
FAIRFAX COUNTY,"16,294","12,261","1,744","2,289","14,176","10,289","1,438","2,449",14.7,13.4,15.4,23.4,61.2,57.1,59.3,89.7
LOUDOUN COUNTY,"1,294","1,105",109,80,"3,057","2,616",190,251,27.9,26.5,23.6,83.7,113.5,108.0,101.0,305.8
PRINCE WILLIAM COUNTY,"1,901","1,395",396,110,"4,716","3,481",915,320,17.4,15.8,22.8,27.2,69.5,65.0,84.5,90.6
ALEXANDRIA CITY,"3,429","1,939",927,563,"2,125","1,115",634,376,17.6,12.6,24.0,68.2,65.7,47.2,88.8,234.6
FAIRFAX CITY,3,2,1,,279,219,22,38,14.0,13.8,13.6,15.5,58.7,62.8,41.3,51.8
FALLS CHURCH CITY,,,,,109,93,1,15,10.8,10.3,2.7,24.1,48.5,47.7,8.9,81.1
MANASSAS CITY,"1,609","1,399",160,50,684,586,72,26,19.4,20.2,15.5,16.9,77.2,80.8,60.9,61.2
MANASSAS PARK CITY,1,1,,,207,180,18,9,24.4,25.6,17.1,23.8,95.3,102.1,63.1,72.7
PLANNING DISTRICT 9,849,732,97,20,"1,607","1,382",188,37,11.5,11.2,12.2,39.1,55.5,54.1,58.8,147.0
CULPEPER COUNTY,327,264,54,9,416,335,68,13,12.4,12.0,13.2,31.8,57.6,55.6,62.7,119.8
FAUQUIER COUNTY,521,467,43,11,642,573,54,15,10.5,10.3,10.2,38.3,48.7,47.8,49.3,144.0
MADISON COUNTY,1,1,,,105,95,9,1,7.7,8.0,5.4,20.0,41.4,42.8,28.8,117.1
ORANGE COUNTY,,,,,339,279,53,7,14.1,13.2,17.9,91.4,72.3,69.3,83.3,268.0
RAPPAHANNOCK COUNTY,,,,,105,100,4,1,14.5,14.6,11.0,56.2,78.9,79.6,57.4,234.2
PLANNING DISTRICT 10,"3,065","2,399",555,111,"2,444","1,938",406,100,13.5,12.9,14.3,29.5,55.7,54.4,58.3,80.7
ALBEMARLE COUNTY,17,17,,,"1,022",851,111,60,13.1,12.5,13.7,29.3,52.9,52.1,49.5,80.8
FLUVANNA COUNTY,,,,,219,177,38,4,15.3,15.4,13.9,104.1,76.1,75.2,74.0,338.3
GREENE COUNTY,2,2,,,243,219,17,7,18.9,18.2,22.6,155.0,85.6,82.6,96.3,521.9
LOUISA COUNTY,3,3,,,311,256,54,1,13.9,14.6,11.4,10.8,65.9,68.2,57.2,39.6
NELSON COUNTY,1,1,,,160,133,25,2,12.1,12.0,11.9,55.9,64.2,64.3,60.5,168.2
CHARLOTTESVILLE CITY,"3,042","2,376",555,111,489,302,161,26,12.0,10.2,16.1,22.9,42.2,35.5,60.3,59.9
PLANNING DISTRICT 11,"2,610","1,943",624,43,"2,621","2,025",557,39,12.1,11.5,14.0,29.5,55.8,53.7,62.8,108.0
AMHERST COUNTY,2,2,,,359,300,57,2,12.4,13.0,9.8,9.8,57.4,60.3,46.6,38.1
APPOMATTOX COUNTY,,,,,154,121,33,,11.9,12.3,10.8,,60.6,63.5,52.5,
BEDFORD COUNTY,3,3,,,569,537,24,8,10.5,10.6,7.5,51.7,50.6,50.8,37.2,266.7
CAMPBELL COUNTY,1,1,,,661,535,119,7,13.6,12.8,17.7,33.8,64.3,61.3,79.6,124.3
BEDFORD CITY,195,160,33,2,86,67,18,1,14.0,14.5,12.3,22.8,78.6,86.3,58.5,98.4
LYNCHBURG CITY,"2,409","1,777",591,41,792,465,306,21,11.9,10.1,15.6,30.5,51.0,43.2,67.0,102.1
,,,,,,[continued],[continued],,,,,,,,,
,,,,,,IV-4,IV-4,,,,,,,,,
,,,,,,TABLE 1,TABLE 1,,,,,,,,,
,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,,
,"WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44","WITH RESIDENT RATES PER 1,000 POPULATION AND FEMALES AGES 15-44",,,,
,,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,,
,,,,,"VIRGINIA, 1999","VIRGINIA, 1999","VIRGINIA, 1999","VIRGINIA, 1999",,,,,,,,
PLANNING DISTRICT,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,,,,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,LIVE BIRTHS BY PLACE OF RESIDENCE,,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,"RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 POPULATION","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44","RATES PER 1,000 FEMALES AGE 15-44"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
"COMMONWEALTH OF VIRGINIA 93,289","COMMONWEALTH OF VIRGINIA 93,289","65,424","21,981","5,884","95,207","67,103","21,987","6,117",13.9,12.8,16.4,25.8,61.3,57.3,69.1,95.3
PLANNING DISTRICT 12,"2,176","1,375",736,65,"2,866","1,921",874,71,11.9,10.8,14.1,81.2,60.4,57.6,62.8,338.2
FRANKLIN COUNTY,283,232,48,3,515,459,52,4,12.0,12.0,12.2,35.4,60.1,60.5,55.2,104.6
HENRY COUNTY,,,,,604,432,133,39,10.7,10.0,10.1,224.5,53.6,51.9,45.8,1054.5
PATRICK COUNTY,133,121,10,2,183,169,9,5,10.5,10.4,7.5,160.0,55.3,55.4,36.4,740.6
PITTSYLVANIA COUNTY,3,3,,,753,547,200,6,13.6,13.1,14.7,60.6,65.9,64.3,69.3,253.0
DANVILLE CITY,"1,199",685,503,11,588,213,366,9,11.2,7.4,15.7,22.5,59.5,48.3,68.0,98.0
MARTINSVILLE CITY,558,334,175,49,223,101,114,8,14.5,11.5,17.5,138.2,74.1,69.9,73.4,644.5
PLANNING DISTRICT 13,843,405,429,9,980,505,467,8,12.2,11.0,13.6,34.4,64.8,63.6,65.4,172.8
BRUNSWICK COUNTY,1,1,,,176,69,104,3,10.8,10.8,10.6,136.2,54.2,65.8,47.3,774.2
HALIFAX COUNTY,563,285,274,4,445,254,189,2,12.6,11.8,13.8,13.9,67.5,67.4,67.6,62.1
MECKLENBURG COUNTY,279,119,155,5,359,182,174,3,12.4,10.1,16.1,45.1,67.9,58.2,80.9,293.4
PLANNING DISTRICT 14,361,178,177,6,991,561,417,13,11.5,10.3,13.1,38.4,58.4,52.1,68.1,158.6
AMELIA COUNTY,1,1,,,126,90,36,,13.4,13.3,13.8,,65.7,62.7,75.5,
BUCKINGHAM COUNTY,,,,,111,52,58,1,8.3,6.5,10.9,22.5,47.5,37.5,61.7,74.3
CHARLOTTE COUNTY,7,7,,,161,90,68,3,14.1,12.2,16.8,143.8,77.6,71.0,84.6,615.6
CUMBERLAND COUNTY,2,2,,,83,51,29,3,10.2,10.0,9.8,145.6,55.9,55.1,52.3,516.6
LUNENBURG COUNTY,,,,,106,63,42,1,9.6,9.0,10.4,30.4,53.3,51.6,55.3,118.9
NOTTOWAY COUNTY,1,,1,,193,115,76,2,12.7,13.0,12.1,24.3,72.2,74.3,68.7,109.0
PRINCE EDWARD COUNTY,350,168,176,6,211,100,108,3,11.8,8.9,16.5,26.6,47.0,33.5,72.8,121.2
PLANNING DISTRICT 15,"12,719","8,192","4,109",418,"11,558","7,361","3,779",418,13.9,12.7,16.2,25.5,60.0,56.3,65.6,99.9
CHARLES CITY COUNTY,,,,,77,30,44,3,12.6,13.2,12.9,7.0,61.6,65.8,63.1,31.0
CHESTERFIELD COUNTY,"2,169","1,791",316,62,"3,225","2,513",606,106,12.4,11.8,14.9,16.7,53.7,51.1,63.3,77.1
GOOCHLAND COUNTY,,,,,167,131,33,3,9.9,10.5,7.7,59.2,45.5,49.3,33.0,230.2
HANOVER COUNTY,540,455,68,17,"1,123","1,013",84,26,14.7,14.5,13.2,63.6,66.4,65.2,66.5,235.4
HENRICO COUNTY,"6,165","4,572","1,331",262,"3,634","2,372","1,034",228,14.8,13.1,18.0,34.7,61.3,58.5,61.2,124.0
NEW KENT COUNTY,,,,,135,115,16,4,10.9,11.4,7.5,23.3,50.7,52.6,37.7,82.8
POWHATAN COUNTY,1,1,,,263,240,22,1,14.4,16.0,6.8,17.5,77.2,79.3,59.7,96.0
RICHMOND CITY,"3,844","1,373","2,394",77,"2,934",947,"1,940",47,15.1,12.5,16.7,19.8,64.8,55.1,70.7,67.8
PLANNING DISTRICT 16,"2,650","2,147",406,97,"3,301","2,655",532,114,15.6,14.6,19.2,38.2,67.9,63.3,90.6,142.8
CAROLINE COUNTY,1,1,,,280,182,95,3,13.7,13.8,13.7,12.5,66.6,65.6,69.0,56.3
KING GEORGE COUNTY,,,,,233,178,50,5,14.8,14.1,16.9,29.5,63.9,61.5,71.5,91.9
SPOTSYLVANIA COUNTY,8,8,,,"1,149",987,129,33,15.5,14.8,19.9,38.9,64.9,61.4,91.3,145.3
STAFFORD COUNTY,7,7,,,"1,255","1,045",165,45,15.4,14.1,26.5,31.3,70.9,64.9,134.5,121.7
FREDERICKSBURG CITY,"2,634","2,131",406,97,384,263,93,28,18.9,17.5,18.5,98.1,72.0,64.3,80.6,299.6
PLANNING DISTRICT 17,279,125,147,7,499,265,218,16,10.7,8.0,16.2,92.6,65.1,53.7,81.0,401.9
LANCASTER COUNTY,279,125,147,7,101,50,51,,8.7,6.0,15.3,,59.2,47.0,79.9,
NORTHUMBERLAND COUNTY,,,,,118,59,57,2,10.5,7.2,18.6,72.2,70.0,53.2,99.9,266.9
RICHMOND COUNTY,,,,,79,49,28,2,10.5,9.3,12.5,61.4,57.0,52.9,61.8,284.5
WESTMORELAND COUNTY,,,,,201,107,82,12,12.3,9.4,17.0,127.3,69.7,58.4,79.7,557.7
PLANNING DISTRICT 18,8,6,2,,876,686,178,12,10.4,10.1,11.3,16.7,50.6,49.3,55.2,71.6
ESSEX COUNTY,2,2,,,106,59,44,3,12.1,10.8,13.6,35.2,66.4,63.0,68.2,204.0
GLOUCESTER COUNTY,6,4,2,,381,337,39,5,10.0,9.8,11.4,18.5,43.5,42.3,54.7,63.5
KING AND QUEEN COUNTY,,,,,62,39,22,1,9.3,9.8,8.5,13.5,48.3,52.9,41.5,60.8
KING WILLIAM COUNTY,,,,,187,145,39,3,14.9,16.4,11.3,11.9,69.9,78.3,50.4,59.0
MATHEWS COUNTY,,,,,55,47,8,,6.3,6.1,7.8,,36.9,36.4,41.7,
MIDDLESEX COUNTY,,,,,85,59,26,,9.1,8.1,12.6,,56.6,52.2,69.9,
PLANNING DISTRICT 19,"2,030",925,"1,029",76,"2,058",975,"1,019",64,13.0,11.4,14.6,26.1,62.6,59.5,64.6,88.6
DINWIDDIE COUNTY,1,1,,,239,180,57,2,10.5,11.9,7.5,21.1,51.1,58.2,36.5,79.3
GREENSVILLE COUNTY,,,,,90,23,67,,8.8,5.2,11.7,,49.8,30.2,64.7,
PRINCE GEORGE COUNTY,,,,,378,235,117,26,13.0,12.0,13.3,33.6,59.5,58.6,56.6,96.3
SURRY COUNTY,,,,,67,29,38,,10.5,9.1,12.0,,51.2,46.6,55.6,
SUSSEX COUNTY,,,,,130,58,72,,13.3,13.8,12.9,,67.3,76.3,61.9,
COLONIAL HEIGHTS CITY,,,,,189,148,31,10,12.0,9.9,157.1,16.7,64.0,53.4,744.1,73.3
EMPORIA CITY,159,27,129,3,82,15,65,2,16.0,6.2,24.2,51.6,91.4,40.4,125.1,303.1
HOPEWELL CITY,458,279,165,14,332,192,130,10,14.5,12.7,17.9,21.2,64.6,62.7,68.0,61.0
PETERSBURG CITY,"1,412",618,735,59,551,95,442,14,15.5,14.8,15.3,35.6,70.5,103.0,65.0,142.7
PLANNING DISTRICT 20,"16,745","9,658","6,200",887,"16,008","9,177","5,973",858,14.1,12.2,17.6,20.5,60.8,53.5,74.0,78.6
ISLE OF WIGHT COUNTY,1,,1,,336,222,112,2,11.2,10.0,14.6,17.2,52.1,46.5,67.8,64.8
SOUTHAMPTON COUNTY,,,,,179,96,82,1,10.4,9.5,11.5,34.6,58.6,53.7,65.1,155.2
CHESAPEAKE CITY,"3,121","2,012",985,124,"2,805","1,812",917,76,15.1,13.8,17.8,26.0,64.0,59.3,73.5,91.5
FRANKLIN CITY,279,139,137,3,102,34,65,3,12.5,9.2,14.7,109.4,62.5,51.2,67.5,526.9
NORFOLK CITY,"5,448","2,623","2,576",249,"3,843","1,624","1,974",245,15.0,11.6,18.3,28.3,66.6,53.5,78.3,115.7
PORTSMOUTH CITY,"4,372","2,498","1,519",355,"1,604",653,910,41,15.6,13.1,17.5,33.9,70.3,62.3,75.6,139.3
SUFFOLK CITY,877,407,461,9,938,452,473,13,16.0,13.6,18.8,38.2,73.7,67.3,79.9,136.8
VIRGINIA BEACH CITY,"2,647","1,979",521,147,"6,201","4,284","1,440",477,13.1,11.8,17.1,16.7,53.9,49.7,67.9,63.2
PLANNING DISTRICT 21,"6,873","3,948","2,611",314,"6,512","3,546","2,642",324,14.7,12.5,18.1,28.5,62.5,54.8,73.3,93.6
JAMES CITY COUNTY,,,,,487,357,107,23,11.2,9.6,19.1,50.9,51.4,44.6,80.1,182.0
YORK COUNTY,,,,,654,513,108,33,13.4,12.8,14.5,26.5,62.1,59.9,67.8,87.8
HAMPTON CITY,"2,180",976,"1,085",119,"2,026",946,988,92,14.3,12.4,16.1,28.3,59.5,53.4,64.3,96.8
NEWPORT NEWS CITY,"3,687","2,207","1,319",161,"3,183","1,590","1,423",170,17.3,14.6,20.6,30.3,73.8,65.2,83.6,100.0
POQUOSON CITY,,,,,90,86,,4,7.1,7.0,,11.7,34.2,34.2,,44.5
WILLIAMSBURG CITY,"1,006",765,207,34,72,54,16,2,5.8,5.6,7.0,4.3,16.4,15.6,22.8,9.2
PLANNING DISTRICT 22,510,229,259,22,615,310,277,28,13.7,11.0,16.7,189.5,73.7,63.9,80.2,861.6
ACCOMACK COUNTY,4,,3,1,427,214,192,21,13.2,10.1,17.4,180.2,70.5,58.1,82.0,770.6
NORTHAMPTON COUNTY,506,229,256,21,188,96,85,7,15.0,13.8,15.3,224.1,82.2,82.1,76.5,1333.8
PLANNING DISTRICT 23,"23,618","13,606","8,811","1,201","22,520","12,723","8,615","1,182",14.3,12.3,17.7,22.2,61.3,53.9,73.8,82.2
UNKNOWN VA CITY OR COUNTY,,,,,,,,,,,,,,,,
