LEE COUNTY,2,2,,,265,265,,,11.3,11.5,,
SCOTT COUNTY,,,,,207,203,2,2,9.1,9.1,4.7,27.0
WISE COUNTY,254,246,3,5,498,485,6,7,12.0,12.4,2.6,26.4
NORTON CITY,485,475,8,2,45,41,4,,12.1,12.3,12.3,
PLANNING DISTRICT 2,505,494,8,3,"1,171","1,138",24,9,10.4,10.4,9.5,13.4
BUCHANAN COUNTY,,,,,202,201,1,,8.5,8.7,1.3,
DICKENSON COUNTY,1,1,,,203,199,1,3,12.6,12.5,5.6,75.0
RUSSELL COUNTY,,,,,298,294,1,3,10.3,10.3,3.2,52.6
TAZEWELL COUNTY,504,493,8,3,468,444,21,3,10.7,10.5,16.5,6.2
PLANNING DISTRICT 3,"1,634","1,578",36,20,"2,043","1,968",54,21,10.8,10.7,10.1,19.8
BLAND COUNTY,,,,,51,50,,1,7.4,7.6,,66.7
CARROLL COUNTY,,,,,302,297,5,,10.4,10.3,17.1,
GRAYSON COUNTY,,,,,157,153,3,1,9.8,9.8,7.3,18.2
SMYTH COUNTY,309,292,8,9,351,336,9,6,11.0,10.8,12.1,42.6
WASHINGTON COUNTY,691,676,9,6,551,535,11,5,10.4,10.4,11.6,15.6
WYTHE COUNTY,241,231,7,3,321,311,7,3,11.2,11.4,7.3,13.3
BRISTOL CITY,,,,,219,205,11,3,12.4,12.6,9.7,21.9
GALAX CITY,393,379,12,2,91,81,8,2,13.3,13.1,15.0,24.1
PLANNING DISTRICT 4,"1,807","1,671",59,77,"1,823","1,673",64,86,10.6,10.6,7.6,15.5
FLOYD COUNTY,10,10,,,159,156,1,2,10.9,10.9,3.1,52.6
GILES COUNTY,7,7,,,190,187,2,1,11.0,11.1,5.9,14.9
MONTGOMERY COUNTY,"1,733","1,602",54,77,967,853,36,78,10.8,10.6,8.9,16.5
PULASKI COUNTY,57,52,5,,358,340,16,2,10.2,10.4,7.0,9.5
RADFORD CITY,,,,,149,137,9,3,9.2,9.6,6.4,5.9
PLANNING DISTRICT 5,"4,106","3,359",646,101,"3,279","2,585",599,95,12.2,11.4,16.6,20.2
ALLEGHANY COUNTY,4,3,1,,190,171,18,1,11.6,11.2,17.6,11.1
BOTETOURT COUNTY,8,7,1,,308,298,7,3,9.6,9.9,4.7,9.0
CRAIG COUNTY,,,,,40,40,,,7.8,7.9,,
ROANOKE COUNTY,3,3,,,897,790,64,43,9.9,9.5,13.0,19.8
COVINGTON CITY,,,,,28,24,3,1,4.5,4.6,3.4,11.9
ROANOKE CITY,"3,501","2,826",604,71,"1,583","1,056",483,44,17.1,16.2,18.7,27.1
SALEM CITY,590,520,40,30,233,206,24,3,9.2,8.9,13.3,7.8
PLANNING DISTRICT 6,"3,330","3,023",153,154,"3,317","2,997",163,157,12.0,11.7,10.5,41.3
AUGUSTA COUNTY,"1,248","1,155",73,20,851,810,27,14,12.0,12.0,8.9,33.2
BATH COUNTY,,,,,37,35,,2,8.0,8.2,,62.5
HIGHLAND COUNTY,1,1,,,20,20,,,8.2,8.2,,
ROCKBRIDGE COUNTY,5,4,,1,284,271,11,2,13.2,13.2,13.8,10.2
ROCKINGHAM COUNTY,12,12,,,889,846,22,21,12.1,11.8,14.0,40.9
BUENA VISTA CITY,,,,,61,58,1,2,9.4,9.6,2.6,37.0
HARRISONBURG CITY,"1,748","1,558",64,126,538,402,34,102,12.2,10.3,10.5,53.2
LEXINGTON CITY,312,289,16,7,45,37,6,2,6.4,6.1,8.5,10.0
STAUNTON CITY,1,1,,,265,232,25,8,11.1,11.2,8.6,34.0
WAYNESBORO CITY,3,3,,,327,286,37,4,15.1,15.1,14.5,18.2
PLANNING DISTRICT 7,"3,130","2,826",108,196,"2,877","2,562",100,215,13.5,12.8,9.3,74.6
CLARKE COUNTY,2,2,,,135,126,2,7,9.4,9.5,2.3,32.7
FREDERICK COUNTY,8,8,,,962,846,31,85,13.2,12.4,9.0,75.3
PAGE COUNTY,2,2,,,225,215,7,3,9.3,9.2,11.6,25.0
SHENANDOAH COUNTY,315,272,2,41,538,496,7,35,13.3,12.6,8.4,102.0
WARREN COUNTY,251,233,10,8,522,489,17,16,14.4,14.5,8.5,31.6
WINCHESTER CITY,"2,552","2,309",96,147,495,390,36,69,19.2,17.6,12.2,120.8
PLANNING DISTRICT 8,"34,307","22,345","4,341","7,621","33,941","22,421","3,958","7,562",16.4,14.6,15.4,27.3
ARLINGTON COUNTY,"3,602","2,471",402,729,"2,778","2,158",223,397,13.6,13.0,12.7,18.6
FAIRFAX COUNTY,"19,544","13,527","1,862","4,155","15,282","10,361","1,433","3,488",15.1,14.0,14.2,20.3
LOUDOUN COUNTY,"2,528","1,696",188,644,"5,160","3,461",330,"1,369",18.5,15.9,13.4,37.5
PRINCE WILLIAM COUNTY,"2,325",775,565,985,"6,797","3,925","1,303","1,569",18.9,15.4,17.4,51.7
ALEXANDRIA CITY,"3,921","1,900","1,089",932,"2,525","1,410",551,564,18.0,14.2,17.7,58.5
FAIRFAX CITY,,,,,383,261,24,98,16.4,14.7,14.1,25.1
FALLS CHURCH CITY,,,,,124,98,4,22,11.3,10.4,7.8,20.9
MANASSAS CITY,"2,387","1,976",235,176,657,551,71,35,18.6,19.2,14.3,20.7
MANASSAS PARK CITY,,,,,235,196,19,20,20.6,21.4,13.2,24.1
PLANNING DISTRICT 9,"1,394","1,037",144,213,"2,171","1,699",249,223,13.1,12.0,12.1,80.1
CULPEPER COUNTY,527,361,70,96,734,536,103,95,16.1,14.5,13.2,92.6
FAUQUIER COUNTY,856,665,74,117,805,627,67,111,12.1,10.7,10.7,85.4
MADISON COUNTY,7,7,,,154,135,17,2,11.2,11.2,10.9,18.7
ORANGE COUNTY,2,2,,,410,338,59,13,12.6,12.2,12.9,45.0
RAPPAHANNOCK COUNTY,2,2,,,68,63,3,2,9.4,9.4,6.7,32.3
PLANNING DISTRICT 10,"3,677","2,955",593,129,"2,917","2,359",443,115,13.0,12.8,13.5,14.9
ALBEMARLE COUNTY,21,20,1,,"1,132",931,124,77,12.2,11.8,13.0,15.9
FLUVANNA COUNTY,1,1,,,352,295,53,4,13.9,14.3,11.7,18.6
GREENE COUNTY,7,6,1,,276,252,20,4,15.5,15.5,14.4,18.1
LOUISA COUNTY,3,3,,,452,387,62,3,14.1,15.2,10.0,11.2
NELSON COUNTY,4,3,,1,159,139,18,2,10.4,10.8,8.1,23.3
CHARLOTTESVILLE CITY,"3,641","2,922",591,128,546,355,166,25,13.2,11.8,18.6,11.9
PLANNING DISTRICT 11,"2,781","2,064",671,46,"2,861","2,168",637,56,11.7,11.1,14.3,15.8
AMHERST COUNTY,,,,,330,279,47,4,10.2,11.0,7.2,9.7
APPOMATTOX COUNTY,2,1,,1,164,109,53,2,11.6,9.9,16.8,30.8
BEDFORD COUNTY,3,3,,,639,585,43,11,9.6,9.5,9.2,15.6
CAMPBELL COUNTY,9,7,2,,549,457,87,5,10.4,10.4,10.6,8.0
BEDFORD CITY,181,142,37,2,64,48,16,,10.2,10.0,11.5,
LYNCHBURG CITY,"2,586","1,911",632,43,"1,115",690,391,34,15.6,14.1,18.9,20.5
,,,,[continued],[continued],,,,,,,
,,,,TABLE 1,TABLE 1,,,,,,,
TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,TOTAL LIVE BIRTHS BY PLACE OF OCCURRENCE AND PLACE OF RESIDENCE BY RACE,,
"WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION","WITH RESIDENT LIVE BIRTH RATES PER 1,000 TOTAL PROJECTED POPULATION",,
,,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,BY PLANNING DISTRICT AND CITY OR COUNTY,,,,,
,,,,"VIRGINIA, 2007","VIRGINIA, 2007",,,,,,,
PLANNING DISTRICT,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,NUMBER OF TOTAL LIVE BIRTHS,,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,TOTAL LIVE BIRTHS BY PLACE OF RESIDENCE,,
AND,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,BY PLACE OF OCCURRENCE,,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,NUMBER OF LIVE BIRTHS,,"RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION","RATES PER 1,000 TOTAL POPULATION"
CITY / COUNTY,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER,TOTAL,WHITE,BLACK,OTHER
COMMONWEALTH OF VIRGINIA,"107,261","71,701","23,904","11,656","108,417","73,003","23,708","11,706",14.1,12.8,15.0,27.2
PLANNING DISTRICT 12,"1,814","1,117",646,51,"2,797","1,924",817,56,11.4,10.4,13.6,31.1
FRANKLIN COUNTY,281,232,40,9,599,543,46,10,11.7,11.8,9.6,29.9
HENRY COUNTY,2,2,,,627,436,170,21,11.3,10.3,13.5,46.1
PATRICK COUNTY,,,,,154,146,6,2,8.2,8.4,4.7,19.8
PITTSYLVANIA COUNTY,2,1,,1,638,479,157,2,10.5,10.3,11.0,7.5
DANVILLE CITY,979,547,421,11,566,218,336,12,12.6,9.2,16.2,23.2
MARTINSVILLE CITY,550,335,185,30,213,102,102,9,14.6,12.4,16.5,72.6
PLANNING DISTRICT 13,778,386,380,12,911,475,423,13,10.7,9.7,11.8,24.5
BRUNSWICK COUNTY,1,,1,,175,60,110,5,9.8,7.8,10.9,68.5
HALIFAX COUNTY,482,258,221,3,419,243,174,2,11.8,11.1,12.9,9.4
MECKLENBURG COUNTY,295,128,158,9,317,172,139,6,9.9,8.8,11.3,24.4
PLANNING DISTRICT 14,450,243,202,5,"1,104",711,380,13,11.0,10.9,10.9,19.1
AMELIA COUNTY,,,,,147,120,25,2,11.6,12.6,8.1,30.8
BUCKINGHAM COUNTY,,,,,206,137,69,,12.9,13.9,11.6,
CHARLOTTE COUNTY,6,6,,,129,79,49,1,10.5,9.4,12.6,25.6
CUMBERLAND COUNTY,3,3,,,119,85,30,4,12.4,13.7,9.0,47.6
LUNENBURG COUNTY,1,,1,,127,82,44,1,9.8,10.2,9.0,11.6
NOTTOWAY COUNTY,,,,,161,97,60,4,10.2,10.4,9.5,44.0
PRINCE EDWARD COUNTY,440,234,201,5,215,111,103,1,10.1,8.1,13.7,4.1
PLANNING DISTRICT 15,"15,362","9,818","4,796",748,"12,984","8,201","4,080",703,13.5,12.7,14.5,20.0
CHARLES CITY COUNTY,,,,,56,36,16,4,7.8,11.4,4.7,7.1
CHESTERFIELD COUNTY,"3,614","2,723",729,162,"3,886","2,913",800,173,13.0,13.1,12.0,16.1
GOOCHLAND COUNTY,2,1,1,,194,150,40,4,9.4,9.5,8.9,13.8
HANOVER COUNTY,"1,867","1,229",583,55,"1,004",881,95,28,10.1,10.1,9.3,16.8
HENRICO COUNTY,"6,074","4,115","1,498",461,"4,098","2,478","1,190",430,14.1,12.9,14.5,26.2
NEW KENT COUNTY,4,3,1,,180,158,15,7,10.5,11.1,5.9,21.4
POWHATAN COUNTY,,,,,254,232,20,2,9.1,9.9,4.6,13.2
RICHMOND CITY,"3,801","1,747","1,984",70,"3,312","1,353","1,904",55,16.5,15.5,17.6,11.0
PLANNING DISTRICT 16,"4,143","3,089",702,352,"4,674","3,371",864,439,15.0,13.7,15.1,45.7
CAROLINE COUNTY,3,3,,,416,311,94,11,15.2,16.6,11.7,23.3
KING GEORGE COUNTY,,,,,387,292,78,17,17.1,16.4,18.1,37.4
SPOTSYLVANIA COUNTY,4,4,,,"1,717","1,273",251,193,14.4,13.1,13.3,55.4
STAFFORD COUNTY,8,8,,,"1,741","1,248",310,183,14.4,13.1,14.6,40.2
FREDERICKSBURG CITY,"4,128","3,074",702,352,413,247,131,35,18.4,14.5,28.0,53.8
PLANNING DISTRICT 17,5,2,3,,560,328,227,5,11.0,9.2,15.4,12.6
LANCASTER COUNTY,4,2,2,,125,56,68,1,10.8,6.8,21.5,13.3
NORTHUMBERLAND COUNTY,,,,,105,59,46,,8.1,6.2,13.9,
RICHMOND COUNTY,1,,1,,123,84,36,3,13.4,13.9,11.7,46.9
WESTMORELAND COUNTY,,,,,207,129,77,1,12.0,10.8,14.9,6.0
PLANNING DISTRICT 18,15,12,3,,982,777,183,22,10.7,10.6,11.0,16.5
ESSEX COUNTY,9,6,3,,137,66,66,5,12.6,10.4,15.4,24.5
GLOUCESTER COUNTY,3,3,,,393,348,34,11,10.3,10.3,8.7,18.8
KING AND QUEEN COUNTY,1,1,,,77,51,26,,11.2,11.3,11.6,
KING WILLIAM COUNTY,2,2,,,212,173,34,5,13.5,14.1,10.9,15.8
MATHEWS COUNTY,,,,,67,57,9,1,7.4,7.1,8.9,18.5
MIDDLESEX COUNTY,,,,,96,82,14,,9.0,9.6,6.9,
PLANNING DISTRICT 19,"1,430",575,799,56,"2,334","1,141","1,107",86,13.6,12.7,14.0,28.9
DINWIDDIE COUNTY,,,,,260,186,69,5,10.1,10.9,8.3,19.8
GREENSVILLE COUNTY,1,,,1,145,53,88,4,12.2,11.4,12.2,54.8
PRINCE GEORGE COUNTY,,,,,375,243,109,23,10.4,11.1,8.4,21.7
SURRY COUNTY,3,2,1,,69,34,33,2,9.7,9.2,9.8,51.3
SUSSEX COUNTY,1,,1,,130,61,68,1,10.6,12.6,9.3,13.5
COLONIAL HEIGHTS CITY,,,,,252,181,56,15,14.2,12.1,25.3,26.5
EMPORIA CITY,2,1,1,,55,13,41,1,9.8,5.6,12.5,24.4
HOPEWELL CITY,5,1,4,,396,213,175,8,17.2,15.5,19.6,20.8
PETERSBURG CITY,"1,418",571,792,55,652,157,468,27,19.8,23.4,18.2,56.5
PLANNING DISTRICT 20,"18,260","10,086","6,759","1,415","17,197","9,512","6,336","1,349",15.2,13.4,16.9,26.6
ISLE OF WIGHT COUNTY,2,2,,,355,238,107,10,10.1,9.3,11.9,26.7
SOUTHAMPTON COUNTY,,,,,171,97,68,6,9.7,9.1,9.8,74.1
CHESAPEAKE CITY,"3,078","1,741","1,208",129,"2,996","1,777","1,049",170,13.7,12.2,15.7,24.5
FRANKLIN CITY,279,95,174,10,156,49,105,2,17.5,12.2,22.0,19.0
NORFOLK CITY,"6,980","3,414","2,987",579,"4,159","1,725","2,095",339,17.6,14.7,19.4,34.0
PORTSMOUTH CITY,"4,707","2,773","1,545",389,"1,642",649,927,66,16.1,14.2,17.0,35.9
SUFFOLK CITY,"1,338",743,558,37,"1,205",650,513,42,14.8,14.3,15.0,28.3
VIRGINIA BEACH CITY,"1,876","1,318",287,271,"6,513","4,327","1,472",714,15.0,13.8,16.3,23.9
PLANNING DISTRICT 21,"7,036","3,945","2,654",437,"6,778","3,550","2,771",457,14.3,12.4,16.4,27.1
JAMES CITY COUNTY,3,3,,,569,449,77,43,9.3,8.8,8.8,28.7
YORK COUNTY*,"1,002",778,152,72,613,463,93,57,10.0,9.4,10.5,18.0
HAMPTON CITY,"1,965","1,018",795,152,"2,135",993,"1,024",118,14.6,14.1,14.3,26.0
NEWPORT NEWS CITY,"4,065","2,145","1,707",213,"3,231","1,476","1,541",214,18.0,15.6,19.8,32.3
POQUOSON CITY,,,,,69,63,3,3,5.8,5.6,11.1,9.9
WILLIAMSBURG CITY*,1,1,,,161,106,33,22,12.9,10.6,19.9,29.9
PLANNING DISTRICT 22,556,353,190,13,681,449,217,15,13.1,12.9,13.1,37.9
ACCOMACK COUNTY,2,2,,,508,342,156,10,13.2,12.8,13.8,29.5
NORTHAMPTON COUNTY,554,351,190,13,173,107,61,5,12.9,13.3,11.6,87.7
PLANNING DISTRICT 23,"25,296","14,031","9,413","1,852","23,975","13,062","9,107","1,806",14.9,13.1,16.8,26.7
UNKNOWN VA CITY OR COUNTY,,,,,,,,,,,,
"NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.","NOTE: PLANNING DISTRICT 23, THE HAMPTON ROADS PLANNING DISTRICT, IS THE AGGREGATE OF PLANNING DISTRICTS 20 AND 21.",,,,
"* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.","* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.","* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.","* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.","* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.","* WILLIAMSBURG COMMUNITY HOSPITAL WAS LOCATED IN WILLIAMSBURG CITY UNTIL AUGUST 17, 2006.",IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,IT REOPENED IN YORK COUNTY AS SENTARA WILLIAMSBURG,
REGIONAL MEDICAL CENTER.,,,,,,,,,,,,
